SC,count_total,count_acceptable,count_correct,count_degradee,periode
f4,1,1,1,0,1
h3,3,2,2,0,1
f1,3,0,0,0,1
h2,4,1,0,1,1
h3,4,2,2,0,1
f2,3,0,0,0,1
h1,5,1,0,1,1
h5,3,2,2,0,1
f1,3,0,0,0,1
h5,3,1,0,1,1
h1,0,0,0,0,2
h1,0,0,0,0,2
h5,1,0,0,0,2
f4,2,2,0,2,2
h5,2,1,1,0,2
h5,5,2,0,2,2
h4,4,4,2,2,2
f3,0,0,0,0,3
h4,1,1,1,0,3
f2,2,1,0,1,3
h5,3,1,1,0,3
h4,4,4,1,3,3
h1,3,3,1,2,3
h2,2,1,1,0,3
f1,2,1,0,1,3
h5,1,1,1,0,3
h3,1,1,1,0,3
h1,3,3,3,0,4
f4,2,2,2,0,4
f2,1,1,1,0,4
h4,2,2,2,0,4
h5,2,1,0,1,4
h2,1,1,1,0,4
h2,1,1,0,1,4
f5,3,2,1,1,4
h3,3,3,2,1,4
f4,0,0,0,0,5
h4,0,0,0,0,5
f2,0,0,0,0,5
h3,0,0,0,0,5
h5,0,0,0,0,5
f2,0,0,0,0,5
h2,0,0,0,0,5
h5,0,0,0,0,5
h3,0,0,0,0,5
f2,0,0,0,0,5
f2,3,3,3,0,6
f4,4,3,3,0,6
h1,5,5,5,0,6
f5,5,3,3,0,6
f2,4,4,4,0,6
h3,4,3,3,0,6
h3,5,4,3,1,6
f1,5,4,4,0,6
f2,5,5,4,1,6
f4,0,0,0,0,7
h4,0,0,0,0,7
h5,0,0,0,0,7
f4,0,0,0,0,7
h3,0,0,0,0,7
f3,0,0,0,0,7
f1,0,0,0,0,7
h5,0,0,0,0,7
f1,0,0,0,0,7
h3,0,0,0,0,8
h1,2,2,2,0,8
f1,1,1,1,0,8
h2,2,1,1,0,8
h5,2,0,0,0,8
h5,3,1,1,0,8
h1,3,3,2,1,8
f2,5,5,2,3,8
h5,6,4,2,2,8
h1,6,6,4,2,8
f3,0,0,0,0,9
f4,0,0,0,0,9
f2,0,0,0,0,9
f4,1,1,1,0,9
f2,1,1,1,0,9
h5,1,1,0,1,9
h2,2,2,2,0,9
f2,2,2,1,1,9
f2,1,1,0,1,9
h1,0,0,0,0,11
f4,1,1,1,0,11
h5,1,0,0,0,11
f2,2,2,2,0,11
h4,4,3,2,1,11
h1,4,4,4,0,11
h5,4,3,2,1,11
f3,4,4,2,2,11
f4,2,2,2,0,12
h3,2,1,1,0,12
h3,3,2,1,1,12
f4,3,3,2,1,12
h3,3,2,2,0,12
f2,2,2,2,0,12
h2,3,2,2,0,12
h4,4,3,3,0,12
h3,4,3,2,1,12
h2,0,0,0,0,13
h5,1,1,1,0,13
f1,0,0,0,0,13
f3,2,2,2,0,13
h1,2,2,2,0,13
f2,2,2,2,0,13
f2,3,3,3,0,13
h5,3,3,3,0,13
f4,4,4,4,0,13
h3,0,0,0,0,14
h2,0,0,0,0,14
f4,0,0,0,0,14
h3,0,0,0,0,14
h3,1,1,1,0,14
h2,2,2,2,0,14
h3,3,3,1,2,14
h4,6,5,4,1,14
h2,5,4,3,1,14
f4,6,5,3,2,14
f4,1,0,0,0,15
h1,3,3,3,0,15
f3,3,3,2,1,15
h5,3,3,3,0,15
h3,4,4,4,0,15
h5,4,4,2,2,15
h4,4,3,3,0,15
f2,3,3,3,0,15
f2,4,4,4,0,15
h1,4,4,3,1,15
f3,0,0,0,0,16
f3,0,0,0,0,16
f3,0,0,0,0,16
h3,0,0,0,0,16
h1,0,0,0,0,16
h3,1,1,1,0,16
f2,1,1,1,0,16
h4,1,1,0,1,16
h5,1,1,1,0,17
h1,1,1,1,0,17
f1,2,2,2,0,17
h5,3,3,3,0,17
h1,3,3,3,0,17
f4,4,4,3,1,17
h3,5,5,3,2,17
h3,5,5,5,0,17
h1,5,5,2,3,17
f2,3,3,3,0,18
h3,5,4,3,1,18
h4,5,4,2,2,18
h3,5,4,4,0,18
h1,4,4,3,1,18
h3,5,4,2,2,18
h5,5,4,1,3,18
f2,4,4,2,2,18
f4,4,4,0,4,18
f3,5,5,5,0,18
f4,0,0,0,0,19
h1,0,0,0,0,19
h1,0,0,0,0,19
h2,1,1,1,0,19
f5,1,1,0,1,19
f2,1,1,1,0,19
h3,3,2,2,0,19
h3,3,2,2,0,19
h3,3,2,2,0,19
f2,1,1,1,0,20
h2,2,2,2,0,20
h4,2,2,2,0,20
h5,2,2,2,0,20
f3,2,2,1,1,20
f2,2,1,1,0,20
h3,4,4,4,0,20
h3,6,5,5,0,20
h1,5,5,4,1,20
h1,2,1,1,0,21
f4,2,2,2,0,21
f4,2,2,2,0,21
f1,3,3,2,1,21
f4,3,3,1,2,21
h3,5,4,4,0,21
h3,5,4,1,3,21
h5,5,5,2,3,21
h1,6,4,3,1,21
f3,2,2,2,0,22
h4,3,3,2,1,22
f2,4,4,4,0,22
h1,3,2,1,1,22
h1,3,2,0,2,22
f2,3,3,2,1,22
h4,3,3,3,0,22
f2,4,4,3,1,22
f4,4,4,0,4,22
h1,2,1,0,1,22
h3,1,1,1,0,23
h1,2,1,1,0,23
h3,1,1,1,0,23
h5,3,3,3,0,23
h3,2,2,2,0,23
h3,2,2,1,1,23
h2,3,2,0,2,23
f4,1,1,0,1,23
h1,1,0,0,0,23
h5,2,2,2,0,23
f3,2,2,2,0,24
f4,3,3,2,1,24
h5,3,3,1,2,24
f2,3,3,3,0,24
h3,5,4,2,2,24
f2,4,4,3,1,24
f3,4,4,4,0,24
h4,4,3,1,2,24
f2,4,4,3,1,24
f4,4,3,2,1,24
h4,1,1,1,0,25
h1,3,2,1,1,25
h4,2,2,2,0,25
f2,2,2,2,0,25
f2,2,2,2,0,25
h2,4,2,1,1,25
