SC,count_total,Trustworthy,Untrustworthy,periode
h3,0,0,0,1
f2,2,1,1,1
f2,1,0,1,1
f3,1,0,1,1
h5,2,2,0,1
f5,1,0,1,1
f1,2,0,2,1
h2,3,1,2,1
f1,3,0,3,1
h5,4,2,2,1
f1,0,0,0,2
f4,0,0,0,2
h5,0,0,0,2
h2,0,0,0,2
h5,0,0,0,2
h2,0,0,0,2
f2,0,0,0,2
f4,0,0,0,2
h1,0,0,0,3
f5,3,3,0,3
h1,4,4,0,3
h3,4,3,1,3
h5,4,2,2,3
h5,4,2,2,3
h1,4,3,1,3
f1,0,0,0,4
h5,1,0,1,4
f2,1,0,1,4
f1,3,2,1,4
h5,2,1,1,4
f1,3,2,1,4
f3,2,2,0,4
f2,4,3,1,4
h2,0,0,0,5
h5,0,0,0,5
h5,0,0,0,5
h3,0,0,0,5
h1,2,0,2,5
h4,4,3,1,5
f2,4,4,0,5
h5,5,4,1,5
h3,5,4,1,5
h5,7,6,1,5
h4,3,3,0,6
f2,2,2,0,6
h4,3,3,0,6
h5,3,2,1,6
h1,4,3,1,6
h2,3,2,1,6
h5,3,3,0,6
f5,1,1,0,7
h1,1,0,1,7
f2,2,2,0,7
f3,2,2,0,7
h4,2,1,1,7
h4,1,0,1,7
f3,1,1,0,7
h5,3,2,1,7
h4,0,0,0,8
h1,1,1,0,8
f3,3,2,1,8
h5,5,4,1,8
h1,5,3,2,8
f4,5,5,0,8
h1,5,3,2,8
f3,3,3,0,8
f3,2,2,0,8
f5,2,2,0,8
h3,1,1,0,9
f2,0,0,0,9
h4,0,0,0,9
h1,0,0,0,9
f4,0,0,0,9
h2,3,2,1,9
f4,2,2,0,9
h5,2,2,0,9
f2,3,3,0,9
h1,0,0,0,10
h2,2,2,0,10
h1,2,1,1,10
f2,2,2,0,10
f2,1,1,0,10
h1,1,0,1,10
h4,1,1,0,10
h5,0,0,0,10
f1,0,0,0,10
f2,0,0,0,11
h3,0,0,0,11
f4,0,0,0,11
h3,2,2,0,11
f1,2,2,0,11
f2,2,2,0,11
h3,1,1,0,11
h3,0,0,0,11
f3,1,1,0,11
h5,1,1,0,11
h1,0,0,0,12
h1,1,0,1,12
h5,3,3,0,12
h5,2,2,0,12
h5,1,1,0,12
f1,0,0,0,12
f4,1,1,0,12
h1,0,0,0,12
h2,0,0,0,12
h3,0,0,0,12
f5,3,2,1,13
f2,4,4,0,13
h5,4,3,1,13
h5,4,3,1,13
f1,2,2,0,13
h3,2,2,0,13
f1,1,1,0,13
h2,1,1,0,14
f2,1,1,0,14
h1,1,1,0,14
h5,2,2,0,14
f1,2,2,0,14
f1,2,2,0,14
f4,2,2,0,14
h4,1,1,0,14
h2,0,0,0,15
h5,2,2,0,15
h5,1,1,0,15
f5,0,0,0,15
h4,3,3,0,15
f5,3,2,1,15
h1,2,1,1,15
h3,3,3,0,15
h5,2,2,0,15
h4,0,0,0,16
f3,1,1,0,16
f4,0,0,0,16
f1,1,1,0,16
f3,2,2,0,16
f5,1,1,0,16
h2,0,0,0,16
f4,1,1,0,16
f2,0,0,0,17
f4,1,1,0,17
f5,2,2,0,17
h3,1,1,0,17
h5,3,2,1,17
h5,2,1,1,17
f2,1,1,0,17
f4,2,1,1,17
h3,2,1,1,17
h2,0,0,0,18
f1,2,1,1,18
h4,2,1,1,18
h2,0,0,0,18
h5,3,3,0,18
h3,3,3,0,18
h5,2,2,0,18
f2,3,3,0,18
h1,5,3,2,18
f4,4,2,2,18
h3,0,0,0,19
h5,0,0,0,19
f4,1,0,1,19
f2,2,2,0,19
f1,3,2,1,19
f1,3,1,2,19
h3,3,3,0,19
h3,1,1,0,20
f3,0,0,0,20
f2,3,3,0,20
f1,3,2,1,20
h2,2,2,0,20
f3,1,1,0,20
f1,0,0,0,20
