SC,SP,Periode,Device_trust,Friendship,Localisation,Reputation,Experiance
f2,f5,1,0.5,0.75,0.0994279,0.5,0.5
f2,h3,1,0.5,0.25,0.851998,0.5,0.5
f2,f5,1,0.5,0.75,0.0994279,0.5,0.5
f3,f5,1,0.5,0.333333,0.375065,0.5,0.5
h5,f4,1,0.5,0.333333,0.793936,0.5,0.5
h5,f5,1,0.5,0.333333,0.750669,0.5,0.5
f5,f4,1,0.5,0.333333,0.552963,0.5,0.5
f1,f4,1,0.5,0.333333,0.163344,0.5,0.5
f1,f5,1,0.5,0.666667,0.0983332,0.5,0.5
h2,f1,1,0.5,0.5,0.685799,0.5,0.5
h2,f4,1,0.5,0,0.0635079,0.5,0.5
h2,f5,1,0.5,0.5,0,0.5,0.5
f1,f5,1,0.5,0.666667,0.0983332,0.5,0.5
f1,f4,1,0.5,0.333333,0.163344,0.5,0.5
f1,h1,1,0.5,0,0.750855,0.5,0.5
h5,f4,1,0.5,0.333333,0.793936,0.5,0.5
h5,f5,1,0.5,0.333333,0.750669,0.5,0.5
h5,f2,1,0.5,0.333333,0.191639,0.5,0.5
h5,h1,1,0.5,0.333333,0.228055,0.5,0.5
f5,f1,3,0.94252,0.666667,0.0983332,0.5,0.5
f5,f2,3,0.941708,1,0.0994279,0.5,0.5
f5,f3,3,0.94252,0.333333,0.375065,0.5,0.5
h1,f1,3,0.94252,0,0.750855,0.5,0.5
h1,f2,3,0.941708,0.5,0.556362,0.5,0.5
h1,f3,3,0.94252,0.5,0.4744,0.5,0.5
h1,f5,3,0.941911,0.5,0.269286,0.5,0.5
h3,f1,3,0.94252,0.5,0.659381,0.5,0.5
h3,f2,3,0.941708,0.5,0.851998,0.5,0.5
h3,f3,3,0.94252,0.5,0.805921,0.5,0.5
h3,f5,3,0.941911,0,0.225157,0.5,0.5
h5,f1,3,0.94252,0.333333,0.119574,0.5,0.5
h5,f2,3,0.941708,0.333333,0.191639,0.5,0.5
h5,f3,3,0.94252,0.333333,0.517238,0.5,0.5
h5,f5,3,0.941911,0.333333,0.750669,0.5,0.5
h5,f5,3,0.941911,0.333333,0.750669,0.5,0.5
h5,f3,3,0.94252,0.333333,0.517238,0.5,0.5
h5,f2,3,0.941708,0.333333,0.191639,0.5,0.5
h5,f1,3,0.94252,0.333333,0.119574,0.5,0.5
h1,f2,3,0.941708,0.5,0.556362,0.5,0.5
h1,f3,3,0.94252,0.5,0.4744,0.5,0.5
h1,f1,3,0.94252,0,0.750855,0.5,0.5
h1,f5,3,0.941911,0.5,0.269286,0.5,0.34
h5,f2,4,0.965761,0.333333,0.191639,0.5,0.5
f2,h5,4,0.965333,0.25,0.191639,0.5,0.5
f1,f2,4,0.965761,0.666667,0.742268,0.5,0.5
f1,f3,4,0.966618,0.333333,0.502559,0.5,0.5
f1,h5,4,0.965333,0.333333,0.119574,0.5,0.5
h5,f2,4,0.965761,0.333333,0.191639,0.5,0.5
h5,f3,4,0.966618,0.333333,0.517238,0.5,0.5
f1,f3,4,0.966618,0.333333,0.502559,0.5,0.5
f1,h5,4,0.965333,0.333333,0.119574,0.5,0.5
f1,f2,4,0.965761,0.666667,0.742268,0.5,0.7
f3,f1,4,0.966397,0.333333,0.502559,0.5,0.5
f3,h5,4,0.965333,0.333333,0.517238,0.5,0.5
f2,h5,4,0.965333,0.25,0.191639,0.5,0.5
f2,f1,4,0.966397,0.5,0.742268,0.5,0.5
f2,f3,4,0.966618,0.25,0.657919,0.5,0.5
f2,h4,4,0.965975,0.25,0.490369,0.5,0.5
h1,f3,5,0.980613,0.5,0.4744,0.5,0.34
h1,f5,5,0.980503,0.5,0.269286,0.5,0.34
h4,f1,5,0.98059,0.5,0.350769,0.5,0.5
h4,f3,5,0.980613,0.5,0.83245,0.5,0.5
h4,f4,5,0.979302,0.5,0.801733,0.5,0.5
h4,f5,5,0.980503,0,0.480404,0.5,0.5
f2,f1,5,0.98059,0.5,0.742268,0.5,0.38
f2,f3,5,0.980613,0.25,0.657919,0.5,0.5
f2,f4,5,0.979302,0.25,0.292101,0.5,0.5
f2,f5,5,0.980503,0.75,0.0994279,0.5,0.5
h5,f1,5,0.98059,0.333333,0.119574,0.5,0.5
h5,f2,5,0.979731,0.333333,0.191639,0.5,0.5
h5,f3,5,0.980613,0.333333,0.517238,0.5,0.7
h5,f4,5,0.979302,0.333333,0.793936,0.5,0.85
h5,f5,5,0.980503,0.333333,0.750669,0.5,0.85
h3,f1,5,0.98059,0.5,0.659381,0.5,0.5
h3,f2,5,0.979731,0.5,0.851998,0.5,0.7
h3,f3,5,0.980613,0.5,0.805921,0.5,0.5
h3,f4,5,0.979302,0.5,0.440104,0.5,0.5
h3,f5,5,0.980503,0,0.225157,0.5,0.5
